coffee_name,total_score,roaster_location,coffee_origin,roast_level,est._price,agtron_ground,agtron_roast,price_per_ounce,origin_country
Kenya Guama Peaberry,97.0,"San Diego, California",South-central Kenya,Medium Light,$23.99/12 ounces,56.0,78.0,23.99,Kenya
Sumatra Tano Batak,95.0,"San Diego, California","Lintong growing region, northern Sumatra, Indonesia",Medium Light,$20.99/12 ounces,55.0,77.0,20.99,Indonesia
Los Congos Pacamara Natural,94.0,"Boulder, Colorado","Nueva Segovia Department, Nicaragua",Medium Light,$20.00/12 ounces,60.0,76.0,20.0,Nicaragua
Kibugu Kenya,94.0,"Lexington, Virginia","Kiambu County, south-central Kenya",Medium Light,$17.95/12 ounces,60.0,78.0,17.95,Kenya
Granja La Esperanza Colombia,94.0,"Chicago, Illinois","Valle del Cauca growing region, Colombia",Medium Light,$24.00/12 ounces,56.0,78.0,24.0,Colombia
Mokka,95.0,"Holulaloa, Hawaii","Holualoa, North Kona growing district, “Big Island” of Hawaii",Medium Light,$39.95/8 ounces,54.0,76.0,39.95,Hawaii
Kenya Gathugu,95.0,"Lee, Massachusetts","Nyeri growing region, south-central Kenya",Medium Light,$17.95/12 ounces,60.0,80.0,17.95,Kenya
Pacamara Finca Los Planes El Salvador,94.0,"Topeka, Kansas","Chalatenango, El Salvador",Medium Light,$19.50/12 ounces,55.0,78.0,19.5,Salvador
Kenya Karindundu,95.0,"Floyd, Virginia","Nyeri growing region, south-central Kenya",Medium Light,$17.99/12 ounces,56.0,78.0,17.99,Kenya
Panama Finca Las Brujas Geisha Natural,96.0,"Sacramento, California","Boquete growing region, western Panama",Medium Light,$50.00/8 ounces,57.0,80.0,50.0,Panama
P.r.o. Coffee Ethiopia Yirgacheffe,95.0,"Shanghai, China","Yirgacheffe growing region, southern Ethiopia",Medium Light,RMB $120.00/227 grams,56.0,78.0,,Ethiopia
Gichichi Peaberry Kenya,94.0,"Tulsa, Oklahoma","Nyeri growing region, south-central Kenya",Medium Light,$15.99/12 ounces,57.0,77.0,15.99,Kenya
Blade Runner Blend,95.0,"Newtown, Sydney, Australia",Kenya; Ethiopia; Brazil,Medium Light,AUD $16.00/250 grams,56.0,82.0,,Brazil
Laura’s Reserve SL-28,96.0,"Holulaloa, Hawaii","Holualoa, North Kona growing district, “Big Island” of Hawaii",Medium Light,$44.95/8 ounces,56.0,82.0,44.95,Hawaii
Panama Finca Mama Cata Microlot Tona,94.0,"Topeka, Kansas","Alto Quiel, Boquete growing region, western Panama",Light,$22.50/12 ounces,58.0,84.0,22.5,Panama
Mr. David Mburu Kenya,96.0,"Portland, Oregon","Kiambu County, south-central Kenya",Medium Light,$15.00/250 grams,56.0,78.0,0.5291005291005291,Kenya
Meaza Ethiopia,95.0,"Portland, Oregon","Borena Zone, Yirgacheffe growing region, southern Ethiopia",Medium Light,$15.00/250 grams,54.0,74.0,0.5291005291005291,Ethiopia
Costa Rica Finca Chispirta,94.0,"Duluth, Minnesota","Central Valley, Costa Rica",Medium Light,$25.00/8 ounces,54.0,68.0,25.0,Rica
Las Lajas Perla Negra Natural,94.0,"Denver, Colorado","Central Valley, Costa Rica",Medium Light,$22.00/12 ounces,52.0,70.0,22.0,Rica
Ninety Plus Silvia Solkiln N2,96.0,"Taipei City, Taiwan","Volcan growing region, Panama",Medium,NT $2616/227 grams,45.0,58.0,92.27513227513226,Panama
P.R.O. Special Blended Coffee,94.0,"Taipei City, Taiwan",Panama; Brazil; Indonesia; Costa Rica,Medium Dark,NT $1156/227 grams,44.0,54.0,40.77601410934744,Rica
Ethiopia Natural Yirgacheffe Gedeb G1 Lot 118,94.0,"Chia-Yi, Taiwan","Yirgacheffe growing region, southern Ethiopia",Medium Light,$21.00/16 ounces,58.0,80.0,21.0,Ethiopia
Kenya Karatu,94.0,"Austin, Texas","Thika growing region, central Kenya",Medium Light,$18.00/12 ounces,57.0,78.0,18.0,Kenya
Ethiopia Gedeb Natural,94.0,"Fort Lauderdale, Florida","Yirgacheffe growing region, southern Ethiopia",Medium Light,$17.00/12 ounces,58.0,77.0,17.0,Ethiopia
Sumatra Tano Batak,95.0,"Newport Beach, California","Lintong growing region, North Sumatra Province, Sumatra, Indonesia",Medium,$15.25/12 ounces,51.0,62.0,15.25,Indonesia
Kenya Gathiruini,95.0,"Washington, DC","Kiambu County, south-central Kenya",Medium Light,$25.00/12 ounces,56.0,78.0,25.0,Kenya
Kenya Thageini,96.0,"San Diego, California",South-central Kenya,Light,$20.99/12 ounces,58.0,84.0,20.99,Kenya
Kenya Gatomboya Peaberry,96.0,"Ramsey, Minnesota","Nyeri growing region, south-central Kenya",Medium Light,$18.95/12 ounces,55.0,74.0,18.95,Kenya
Elida Natural Dragonfly Lot,94.0,"Boulder, Colorado","Boquete growing region, western Panama",Medium Light,$18.00/12 ounces,55.0,75.0,18.0,Panama
Worka Ethiopia,95.0,"Madison, Wisconsin","Yirgacheffe growing region, south-central Ethiopia",Medium Light,$18.75/12 ounces,58.0,78.0,18.75,Ethiopia
Indonesia Sumatra Tano Batak,94.0,"San Diego, California","Lintong growing region, northern Sumatra, Indonesia",Medium Light,$20.99/12 ounces,52.0,74.0,20.99,Indonesia
Ethiopia Hambela Washed,94.0,"Floyd, Virginia","Hambela Wamena District, Guji Zone, Oromia Region, southern Ethiopia",Light,$16.00/12 ounces,65.0,78.0,16.0,Ethiopia
Kenya Muranga Gondo AA,96.0,"Chia-Yi, Taiwan","Murang’a County, central Kenya",Medium Light,$22.00/16 ounces,56.0,80.0,22.0,Kenya
Kenya Small-Lot Reserve Karatina AA,95.0,"Boulder, Colorado","Nyeri growing region, south-central Kenya",Medium Light,$18.00/12 ounces,56.0,78.0,18.0,Kenya
Washed Yirgacheffe Aramo Alemayehu Berhanu,95.0,"Chia-Yi, Taiwan","Yirgacheffe growing region, southern Ethiopia",Medium Light,$19.00/16 ounces,56.0,78.0,19.0,Ethiopia
Kenya Nyeri Gathugu,94.0,"Burlington, Vermont","Nyeri growing region, south-central Kenya",Medium Light,$15.00/12 ounces,54.0,75.0,15.0,Kenya
Ethiopia Yirgacheffe Chelelektu,94.0,"Taichung City, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Light,NT $5800/8 ounces,69.0,84.0,5800.0,Ethiopia
Passport Collection Kenya Ichamara,94.0,"Tequesta, Florida","Nyeri growing region, south-central Kenya",Medium Light,$16.00/12 ounces,54.0,73.0,16.0,Kenya
Ethiopia Limu Natural No. 701,94.0,"Tequesta, Florida","Limu Woreda, southwest Ethiopia",Medium Light,$16.50/12 ounces,57.0,80.0,16.5,Ethiopia
Ethiopia Yirgacheffe YCFCU Idido,94.0,"YiLan, Taiwan","Yirgacheffe growing region, southern Ethiopia",Medium Light,NT $580/227 grams,52.0,76.0,20.458553791887123,Ethiopia
Sumatra Black Panther,94.0,"Yongin-Si, South Korea","Pondok, Aceh Province, northern Sumatra, Indonesia",Medium,"KRW $10,000/250 grams",50.0,69.0,,Indonesia
Sumatra Lintong Mutu Batak,94.0,"Los Angeles, California","Lintong growing region, North Sumatra Province, Indonesia",Medium Light,$14.50/12 ounces,54.0,74.0,14.5,Indonesia
Amaro Gayo Natural Ethiopia,94.0,"Sacramento, California","Amaro Mountains, Sidama (also Sidamo) growing area, southern Ethiopia",Light,$17.95/12 ounces,58.0,90.0,17.95,Ethiopia
Ardi Ethiopia Natural,94.0,"Tulsa, Oklahoma","Sidama (also Sidamo) growing region, southern Ethiopia",Medium Light,$15.99/12 ounces,54.0,79.0,15.99,Ethiopia
Deri Kochoha Espresso,96.0,"Madison, Wisconsin","Sidamo (also Sidama) growing region, southern Ethiopia",Medium Light,$16.80/12 ounces,56.0,78.0,16.8,Ethiopia
Camilina Geisha Auromar Natural,95.0,"Boulder, Colorado","Piedra Candela, Chiriqui Province, far western Panama",Light,$49.50/8 ounces,58.0,84.0,49.5,Panama
ManLao River Ethiopia Yirgacheffe Dry Process Gedeb Asasa,94.0,"Pu'Er Yunnan Province, China","Gedeb District, Yirgacheffe growing region, southern Ethiopia",Medium Light,RMB $75.00/150 grams,54.0,78.0,,Ethiopia
Deri Kochoha Ethiopia,94.0,"Madison, Wisconsin","Sidama (also Sidamo) growing region, southern Ethiopia",Medium Light,$16.80/12 ounces,56.0,80.0,16.8,Ethiopia
Cachajinas Guatemala Huehuetenango,94.0,"Lee, Massachusetts","Huehuetenango Department, Guatemala",Medium Light,$17.95/12 ounces,56.0,80.0,17.95,Guatemala
Ethiopia Yirgacheffe Goro,94.0,"Newtown, Sydney, Australia","Yirgacheffe growing region, south-central Ethiopia",Medium Light,AUD $16.00/250 grams,54.0,76.0,,Ethiopia
El Obraje Geisha,95.0,"Boulder, Colorado","Nariño Department, southern Colombia",Medium Light,$32.00/12 ounces,50.0,73.0,32.0,Colombia
Ethiopia Yirgacheffe Reko,96.0,"Sacramento, California","Kochere, Yirgacheffe growing region, southern Ethiopia",Medium Light,$19.50/12 ounces,54.0,76.0,19.5,Ethiopia
Costa Rica Alberto Guardia Bourbon Natural,95.0,"Sacramento, California","Central Valley, Costa Rica",Medium Light,$20.50/12 ounces,60.0,80.0,20.5,Rica
Colombia San Adolfo,94.0,"Floyd, Virginia","San Adolfo, Acevedo, Huila Department, Colombia",Light,$17.00/12 ounces,65.0,81.0,17.0,Colombia
Laura’s Reserve SL-28,94.0,"Holulaloa, Hawaii","Holualoa, North Kona growing district, “Big Island” of Hawaii",Medium Light,$39.95/8 ounces,58.0,83.0,39.95,Hawaii
Brazil Estancia Telese,94.0,"Billings, Montana","Mantiqueira de Minas growing region, Minas Gerais State, Brazil",Light,$13.25/12 ounces,66.0,83.0,13.25,Brazil
Brazil Fazenda Passeio Natural,94.0,"Branford, Connecticut","Carmo de Minas growing region, Minas Gerais State, Brazil",Medium Light,$13.99/16 ounces,55.0,81.0,13.99,Brazil
Kenya Nyeri Gatugi AA,94.0,"Chia-Yi, Taiwan","Nyeri growing region, south-central Kenya",Light,$500 NTD/16 ounces,60.0,84.0,,Kenya
Panama La Esmeralda Bosque Geisha,95.0,"San Diego, California","Boquete growing region, western Panama",Medium Light,$50.00/8 ounces,53.0,80.0,50.0,Panama
Ethiopia Yirgacheffe Kebele Kochore,94.0,"San Diego, California","Yirgacheffe growing region, southern Ethiopia",Medium Light,$28.00/16 ounces,48.0,78.0,28.0,Ethiopia
El Sitio Ecuador,94.0,"Lexington, Virginia","Pichincha growing region, northern Ecuador",Medium Light,$18.95/12 ounces,52.0,80.0,18.95,Ecuador
Harfusa Espresso,94.0,"Madison, Wisconsin","Yirgacheffe growing region, southern Ethiopia",Medium Light,$17.80/12 ounces,57.0,84.0,17.8,Ethiopia
SOPACDI Congo,94.0,"Lexington, Virginia","Kalehe, South Kivu Province, Democratic Republic of the Congo",Medium Light,$17.95/12 ounces,54.0,74.0,17.95,Congo
Reserve Panama Geisha Hacienda La Esmeralda,95.0,"Chicago, Illinois","Boquete growing region, western Panama",Medium Light,$53.00/8 ounces,54.0,86.0,53.0,Panama
Competition Blend,94.0,"Floyd, Virginia","Yirgacheffe growing region, southern Ethiopia",Light,$16.99/12 ounces,62.0,84.0,16.99,Ethiopia
Bean Brain Reserve Suke Quto Ethiopia Sidamo Espresso,94.0,"San Diego, California","Guji Zone, Oromia Region, Sidamo growing region, south-central Ethiopia",Medium Light,$19.00/12 ounces,60.0,80.0,19.0,Ethiopia
Hambela Ethiopia,96.0,"Lee, Massachusetts","Hambela Wamena District, Guji Zone, Oromia Region, southern Ethiopia",Medium Light,$17.45/12 ounces,57.0,82.0,17.45,Ethiopia
Drima Zede Ethiopia,94.0,"Suzhou, China","Yirgacheffe growing region, southern Ethiopia",Medium Light,CNY $90/227 grams,57.0,82.0,,Ethiopia
Ecuador Juan Peña,94.0,"San Francisco, California","Saraguru growing region, southern Ecuador",Light,$20.00/250 grams,64.0,78.0,0.7054673721340388,Ecuador
Kenya Othaya Peaberry,94.0,"New Orleans, Louisiana","Nyeri growing region, central Kenya",Medium Light,$14.75/12 ounces,55.0,80.0,14.75,Kenya
Organic Ethiopia Aramo Natural,94.0,"Driftless, Wisconsin","Yirgacheffe growing region, southern Ethiopia",Light,$17.75/12 ounces,64.0,84.0,17.75,Ethiopia
Love Shack (Kenya),94.0,"Post Falls, Idaho",Kenya,Medium Light,$17.50/12 ounces,54.0,78.0,17.5,Kenya
100% Kona Bourbon Pointu Laurina,94.0,"Holulaloa, Hawaii","Holualoa, North Kona growing district, “Big Island” of Hawaii",Medium Light,$34.95/8 ounces,56.0,78.0,34.95,Hawaii
Costa Rica Alberto Guardia Venecia Natural,95.0,"Sacramento, California","Central Valley, Costa Rica",Light,$18.50/12 ounces,60.0,82.0,18.5,Rica
Adame Gorbota Espresso,95.0,"Madison, Wisconsin","Yirgacheffe growing region, south-central Ethiopia",Medium Light,$17.50/12 ounces,56.0,72.0,17.5,Ethiopia
El Aguila Pacamara Espresso,94.0,"Santa Ana growing region, El Salvador","Santa Ana growing region, El Salvador",Medium Light,$15.75/12 ounces,60.0,80.0,15.75,Salvador
Ethiopia Natural Yirgacheffe Banko Gutiti Coop,95.0,"Chia-Yi, Taiwan","Kochere, Yirgacheffe growing region, south-central Ethiopia",Light,NT $600/16 ounces,62.0,84.0,600.0,Ethiopia
Ethiopia Natural Sidamo Guji Shakisso,94.0,"Chia-Yi, Taiwan","Sidama (also Sidamo) growing region, southern Ethiopia",Medium Light,NT $500/16 ounces,53.0,81.0,500.0,Ethiopia
Colombia Granja La Esperanza Las Margaritas Sudan Rume,95.0,"Topeka, Kansas","Valle del Cauca growing region, Colombia",Medium Light,$35.00/8 ounces,52.0,78.0,35.0,Colombia
Adame Gorbota Ethiopia,94.0,"Madison, Wisconsin","Yirgacheffe growing region, south-central Ethiopia",Medium Light,$17.50/12 ounces,54.0,82.0,17.5,Ethiopia
Ethiopia Yirgacheffe Adado,94.0,"Bedford, New Hampshire","Yirgacheffe growing region, southern Ethiopia",Medium Light,$15.50/12 ounces,55.0,78.0,15.5,Ethiopia
Panama Ratibor Hartmann Natural,95.0,"Sacramento, California","Santa Clara, Piedra Candela, Volcan growing region, western Panama",Medium Light,$17.50/12 ounces,58.0,80.0,17.5,Panama
Kenya AA Nyeri Tambaya,94.0,"Floyd, Virginia","Nyeri growing region, south-central Kenya",Light,$15.49/12 ounces,60.0,84.0,15.49,Kenya
Costa Rica Las Lajas Red Honey,94.0,"Floyd, Virginia","Sabanilla de Alajuela growing region, Costa Rica",Medium Light,$16.49/12 ounces,53.0,77.0,16.49,Rica
Bernachon Panama Geisha,95.0,"Taipei, Taiwan","Boquete growing region, western Panama",Medium Light,NT $2800/454 grams,60.0,76.0,98.76543209876543,Panama
Panama La Esmeralda Geisha Bosque Natural,97.0,"Sacramento, California","Boquete growing region, western Panama",Medium Light,$62.00/8 ounces,59.0,82.0,62.0,Panama
Harfusa Ethiopia Yirgacheffe Fair Trade Organic,95.0,"Madison, Wisconsin","Yirgacheffe growing region, southern Ethiopia",Medium Light,$17.80/12 ounces,54.0,76.0,17.8,Ethiopia
ASOPCAFA Colombia,94.0,"Madison, Wisconsin","Huila Department, southern Colombia",Medium Light,$14.85/12 ounces,60.0,77.0,14.85,Colombia
Guatemala San Sebastian Natural,95.0,"San Francisco, California","Antigua Valley, Guatemala",Medium Light,$14.50/250 grams,59.0,78.0,0.5114638447971781,Guatemala
Ethiopia Hachira Natural Espresso,94.0,"San Francisco, California","Yirgacheffe growing region, southern Ethiopia",Light,$22.50/250 grams,62.0,87.0,0.7936507936507936,Ethiopia
Ethiopia Kochere Espresso Profile,94.0,"San Francisco, California","Yirgacheffe growing region, southern Ethiopia",Medium Light,$18.00/320 grams,50.0,79.0,0.6349206349206349,Ethiopia
Kenya Nyeri Kiama FCS Ichuga Factory Peaberry,95.0,"Seattle, Washington",South-central Kenya,Medium,$19.50/12 ounces,49.0,68.0,19.5,Kenya
Kenya Nyeri Thageini,94.0,"Belmar, New Jersey",South-central Kenya,Medium Light,$18.00/12 ounces,54.0,68.0,18.0,Kenya
Kenya AA Lot-125 “Queen Flora”,95.0,"Taoyuan City, Taiwan",Kenya,Medium Dark,NT $900/8 ounces,44.0,56.0,900.0,Kenya
Ethiopia Natural Yirgacheffe Phoenix Special “King Solomon”,94.0,"Taoyuan City, Taiwan","Yirgacheffe growing region, southern Ethiopia; Sidama (also Sidamo) growing region, southern Ethiopia",Medium,NT $800/8 ounces,48.0,60.0,800.0,Ethiopia
Fully Washed Ethiopia Phoenix Special “Dr. Evil”,94.0,"Taoyuan City, Taiwan",Ethiopia,Medium,NT $700/8 ounces,45.0,57.0,700.0,Ethiopia
Sulawesi “Tanah Kebangkitan” Phoenix Special Espresso,94.0,"Taoyuan City, Taiwan","Toraja growing region, South Sulawesi, Indonesia",Medium Dark,NT $700/8 ounces,44.0,56.0,700.0,Indonesia
Kenya AA Lot-122 “Excalibur” Espresso,94.0,"Taoyuan City, Taiwan",Kenya,Medium Dark,NT $900/8 ounces,45.0,54.0,900.0,Kenya
Panama Elida Natural Lot #13,95.0,"Sacramento, California","Boquete growing region, western Panama",Light,$20.00/250 grams,63.0,86.0,0.7054673721340388,Panama
Emma’s Jo: The Leam Hammer Competition Espresso,95.0,"Boulder, Colorado",Central America; South America; East Africa,Medium Light,$18.00/12 ounces,55.0,75.0,18.0,Africa
Costa Rica Sumava Natural Lot,94.0,"Sacramento, California","Lourdes de Naranjo, West Valley, Costa Rica",Light,$20.00/250 grams,61.0,85.0,0.7054673721340388,Rica
Panama Auromar Geisha Natural Peaberry,96.0,"Topeka, Kansas","Boquete growing region, western Panama",Medium Light,$40.00/8 ounces,53.0,70.0,40.0,Panama
El Burro Geisha Tachi Natural,95.0,"Ovledo, Florida","Boquete growing region, western Panama",Medium Light,$46.95/12 ounces,55.0,75.0,46.95,Panama
Holiday Blend,95.0,"Bozeman, Montana",Ethiopia; Kenya.,Medium Light,$15.25/12 ounces,54.0,77.0,15.25,
Holiday Blend,95.0,"Kaohsiung, Taiwan",Guatemala; Ethiopia.,Light,$25.00/8 ounces,66.0,82.0,25.0,
Nicaragua Pacamara Los Congos Lot #8,95.0,"Sacramento, California","San Fernando, Nueva Segovia region, Nicaragua",Light,$20.00/250 grams,68.0,82.0,0.7054673721340388,Nicaragua
Panama Boquete Kotowa Gesha Natural,94.0,"Torrington, Connecticut","Boquete growing region, western Panama",Light,$45.00/8 ounces,64.0,84.0,45.0,Panama
Holiday Blend,94.0,"Olympia, Washington",Honduras; Kenya; Ethiopia,Medium Light,$18.90/12 ounces,59.0,70.0,18.9,Ethiopia
Panama Finca Auromar Camilina Natural,94.0,"Branford, Connecticut","Piedra Candela, Chiriqui Province, western Panama",Light,$50.00/8 ounces,66.0,90.0,50.0,Panama
El Aguila SL-28 El Salvador,94.0,"Madison, Wisconsin","Santa Ana growing region, El Salvador",Medium Light,$18.75/12 ounces,58.0,77.0,18.75,Salvador
Ethiopia Sidama Special Lot Natural,95.0,"Boulder, Colorado","Guji Zone, Sidama Province, southern Ethiopia",Light,$18.00/12 ounces,63.0,86.0,18.0,Ethiopia
Panama Finca Deborah Caturra Natural,94.0,"Sacramento, California","Chiriqui, Boquete growing region, western Panama",Light,$20.00/8 ounces,65.0,88.0,20.0,Panama
Nekisse Red N2 Level 39,96.0,"Pu'Er Yunnan Province, China","Sidamo (also Sidama) growing region, southern Ethiopia",Medium Light,RMB $235/125 grams,63.0,74.0,,Ethiopia
Panama La Esmeralda Bosque Lot 1 Gesha,94.0,"San Diego, California","Boquete growing region, western Panama",Light,$48.00/8 ounces,64.0,85.0,48.0,Panama
Finca La Mula Panama Geisha Natural,95.0,"Madison, Wisconsin","Chiriqui, western Panama.",Medium Light,$49.95/8 ounces,52.0,73.0,49.95,
La Lagunita El Salvador,94.0,"Madison, Wisconsin","Apaneca, El Salvador",Medium Light,$18.75/12 ounces,59.0,79.0,18.75,Salvador
Kenya Kinuyu AA,95.0,"Sacramento, California","Kirinyaga District, south-central Kenya",Medium Light,$21.00/12 ounces,57.0,70.0,21.0,Kenya
Costa Rica Alberto Guardia Venecia Honey,94.0,"Sacramento, California","Central Valley, Costa Rica",Light,$18.50/12 ounces,63.0,85.0,18.5,Rica
Nicaragua Cafe Vidita Los Congos Pacamara Natural,95.0,"Boulder, Colorado","Nueva Segovia, Nicaragua",Light,$18.00/12 ounces,63.0,91.0,18.0,Nicaragua
Kenya Kigutha AA,94.0,"Lee, Massachusetts","Kiambu growing region, south-central Kenya.",Medium Light,$17.95/12 ounces,60.0,78.0,17.95,
Panama Altieri Natural Geisha,96.0,"Los Angeles, California","Boquete growing region, western Panama",Medium,$49.95/8 ounces,49.0,72.0,49.95,Panama
Organic Espresso,94.0,"San Diego, California",Not disclosed.,Medium,$15.00/12 ounces,52.0,60.0,15.0,
Kemgin Ninety Plus,94.0,"Lee, Massachusetts","Wellega, Sidama and Yirgacheffe growing regions, southern and western Ethiopia",Medium Light,$25.95/12 ounces,52.0,72.0,25.95,Ethiopia
Ethiopia Nigusse Lemma,94.0,"Lee, Massachusetts","Limu growing region, western Ethiopia",Medium Light,$16.95/12 ounces,58.0,76.0,16.95,Ethiopia
Panama Don Pepe Estate Geisha Single-Origin Espresso,96.0,"Sacramento, California","Boquete growing region, western Panama",Medium,$19.50/12 ounces,48.0,59.0,19.5,Panama
Ichamama Kenya,94.0,"Madison, Wisconsin","Nyeri County, Central Highlands, Kenya",Medium Light,$16.10/12 ounces,56.0,74.0,16.1,Kenya
Las Flores Espresso,95.0,"Madison, Wisconsin","Santa Maria de Dota valley, Tarrazu growing region, Costa Rica",Medium Light,$15.80/12 ounces,57.0,78.0,15.8,Rica
El Salvador Finca Medrano Pacamara Nohemi Ventura,94.0,"Seoul, South Korea","Chalatenango growing region, northwestern El Salvador",Light,"KRW 40,000/500 grams",62.0,87.0,,Salvador
Ethiopia Jimma Agaro,95.0,"Columbus, Ohio","Jimma Zone, Oromia State, Ethiopia",Light,$20.00/12 ounces,66.0,87.0,20.0,Ethiopia
Rwanda Silverback Espresso,95.0,"Taoyuan City, Taiwan",Rwanda.,Medium Dark,"NT $1,200/16 ounces",43.0,52.0,,
Ecuador “Mama Kilya” Espresso,94.0,"Taoyuan City, Taiwan",Ecuador.,Medium Dark,"NT $2,000/16 ounces",44.0,50.0,,
Ethiopia Hambela,94.0,"Lexington, Virginia","Hambela district, Oromia growing region, southern Ethiopia",Medium Light,$18.95/12 ounces,55.0,78.0,18.95,Ethiopia
Kenya Nyeri Peaberry,95.0,"Tulsa, Oklahoma","Nyeri County, Central Highlands, Kenya.",Medium Light,$14.40/12 ounces,55.0,76.0,14.4,
Panama Lino Esmeralda Geisha Natural,96.0,"La Jolla, California","Cañas Verdes, Boquete growing region, western Panama.",Light,$51.00/8 ounces,67.0,88.0,51.0,
Ethiopia Sidama Akrabi,94.0,"Lake, Michigan","Guji Zone, Sidama Province, southern Ethiopia.",Medium Light,$15.00,58.0,71.0,,
Kenya AA Gakuyuri,94.0,"Jackson, Mississippi","Kirinyaga growing district, south-central Kenya.",Medium Light,$15.25/12 ounces,60.0,75.0,15.25,
Kenya Embu Gakui Peaberry,95.0,"Torrington, Connecticut","Kiambu County, south-central Kenya.",Medium Light,$17.50/12 ounces,54.0,70.0,17.5,
Kenya AA Kigwandi Estate,95.0,"Branford, Connecticut","Nyeri County, Central Highlands, Kenya.",Medium Light,$17.99/16 ounces,59.0,75.0,17.99,
Ethiopia Yirgacheffe Buna Ababa,94.0,"San Diego, California","Yirgacheffe growing region, southern Ethiopia.",Medium Light,$15.00/8 ounces,57.0,76.0,15.0,
Panama Don Pepe Fully Washed Geisha,96.0,"Sacramento, California","Boquete growing region, western Panama.",Medium Light,$40.00/8 ounces,58.0,72.0,40.0,
Golden Mean Espresso Blend,94.0,"Newport Beach, California",Not disclosed.,Medium,$14.95/12 ounces,48.0,60.0,14.95,
Finca La Mula Panama Geisha,97.0,"Madison, Wisconsin","Chiriqui, western Panama.",Medium,$59.95/8 ounces,52.0,66.0,59.95,
S.O. Espresso Brazil Fazenda Santa Ines,94.0,"Ramsey, Minnesota","Carmo de Minas growing region, Minas Gerais State, Brazil.",Medium,$12.95/12 ounces,47.0,60.0,12.95,
Black House,94.0,"San Diego, California","Oromia region, southern Ethiopia; Mandheling growing region, northern Sumatra, Indonesia.",Medium Light,$14.00/12 ounces,55.0,69.0,14.0,
Kenya Gachatha AA,96.0,"Los Angeles, California","Nyeri growing region, south-central Kenya.",Medium Light,$24.95/12 ounces,54.0,76.0,24.95,
Burundi Kayanza Province Mpanga Washing Station,94.0,"Seattle, Washington","Kayanza Province, northern Burundi.",Medium Light,$21.00/12 ounces,54.0,74.0,21.0,
Ethiopia Yirgacheffe Dabub Matebya,94.0,"Bedford, New Hampshire","Yirgacheffe growing region, south-central Ethiopia.",Light,$15.00/12 ounces,65.0,87.0,15.0,
Yemen Haraaz Red A+,94.0,"Boulder, Colorado","Haraz (also spelled Haraaz) growing region, north-central Yemen",Medium Light,$19.00/8 ounces,54.0,74.0,19.0,Yemen
El Salvador Finca Loma La Gloria,94.0,"La Jolla, California","El Boqueron, Volcan de San Salvador, El Salvador.",Light,$18.99/12 ounces,78.0,99.0,18.99,
Ethiopia Sidama Ardi,95.0,"Seattle, Washington","Guji Zone, Sidama Province, southern Ethiopia.",Medium Light,$19.00/12 ounces,57.0,78.0,19.0,
Ethiopia Washed Limu Gera,94.0,"Chia-Yi, Taiwan","Limu Woreda, southwest Ethiopia.",Medium Light,$17.00/16 ounces,61.0,79.0,17.0,
Ethiopia Aricha,94.0,"Sacramento, California","Yirgacheffe growing region, southern Ethiopia.",Light,$24.00/16 ounces,62.0,88.0,24.0,
Ace Espresso,94.0,"Toronto, Ontario, Canada",Kenya; Brazil.,Medium Light,$16.00/16 ounces,55.0,72.0,16.0,
Colombia Special Process Microlot 511 “Memory Orchard” Espresso,94.0,"Taoyuan City, Taiwan",Colombia,Medium,"NT $2,000/16 ounces",47.0,56.0,,Colombia
Costa Rica Sonora Bourbon Natural,94.0,"Sacramento, California","Central Valley, Costa Rica.",Light,$19.00/12 ounces,68.0,92.0,19.0,
The Secret Coffee,94.0,"Taichung, Taiwan","Yirgacheffe growing region, southern Ethiopia.",Light,NTD $600/227 grams,66.0,99.0,,
Panama Finca Hartmann,95.0,"Sacramento, California","Santa Clara, Panama.",Light,$17.50/12 ounces,63.0,81.0,17.5,
Sumatra Ulos Batak,94.0,"Sacramento, California","Lintong growing region, North Sumatra Province, Indonesia.",Medium Light,$18.00/12 ounces,54.0,70.0,18.0,
Espresso Blend,94.0,"Hsinchu City, Taiwan","Panama; Sidamo and Yirgacheffe growing regions, southern Ethiopia; Bolivia; Brazil.",Medium,NT $520/225 grams,52.0,68.0,18.34215167548501,
Sillvia Solkiln N2 Level 95,96.0,"Pu’Er, Yunnan Province, China","Silla Del Pando, Volcan, Panama.",Medium Light,RMB $350/75 grams,59.0,80.0,,
Sweet Maria’s Acatenango Gesha,94.0,"Pu’Er, Yunnan Province, China","Acatenango growing region, central Guatemala.",Medium Light,RMB $234/125 grams,60.0,74.0,,
Keremara AA Kenya,95.0,"Lee, Massachusetts","Nyeri growing region, south-central Kenya.",Medium Light,$18.45/12 ounces,60.0,79.0,18.45,
Tchembe Gedeo Ethiopia,94.0,"Lee, Massachusetts","Gedeo Zone, southern Ethiopia.",Medium Light,$30.95/12 ounces,58.0,72.0,30.95,
Ethiopia Yirgacheffe Gedeo,95.0,"Bedford, New Hampshire","Yirgacheffe growing region, south-central Ethiopia.",Light,$14.50/12 ounces,64.0,94.0,14.5,
Finca La Aurora Camilina Geisha,95.0,"Boulder, Colorado","Piedra Candela, Chiriqui Province, far western Panama.",Light,$48.50/8 ounces,62.0,88.0,48.5,
